bguirlet;Benjamin;Guirlet;L3-I;C2;benjamin.guirlet@gmail.com;06.23.86.24.46;5, rue de Cormeilles;d2361bfff0b446d8ab61e3c1cb03d205b96ebc4475c4c59491470321859a92b2;5ea2a3324ad7a;images_etu/bguirlet.jpeg
osuLove;Osu;OSU;LPI-RIWS;E1;osu@love.com;06.66.66.66.66;06, rue de osu;b62d0f5511677bd507cd35ff4ed9992b3798d89d4a7e921767a685e707e3a4e2;5ea2a5ce71adc;images_etu/hdhr.jpeg
Nein;Nein;Nein;L1-MIPI;A1;Nein@german.de;NEINNEINNEINNEINNEIN;NEINNEINNEIN;2fdc0a087d3dc16a2afc4f9238b4ffa22a6efc9d3e6c419ed7d191803deda72d;5ea2b27821e74;assets/pp_none.png
Neko;Neko;Shero;L2-MI;B2;nshero@gmail.com;1654361368;635413654;96bc787ab9dfbaf8a4a9f8cda67993277da0200b6b13e4e42105d10d91c5768e;5ea2bccad143f;assets/pp_none.png
ncottereau fourrier65;Ninon;COTTEREAU FOURRIER;L2-MI;B1;ninon.cottereau fourrier@gmail.com;06.65.55.97.94;6, rue de Paris;97fab705f8552c03640d553ab5d81b7e8ad71a6aa5eb11b2543e7af5d64c4968;0i0c953j5kf8j;images_etu/cNinon.png
nwepsiec38;Nhoun;WEPSIEC;L1-MIPI;A1;nhoun.wepsiec@gmail.com;06.38.41.53.22;6, rue de Paris;c82cc2484be898bdc702739a93fed56dd1bf020576c595ae5c0e605f6085a9dd;ng8m21iqmpo67;images_etu/wNhoun.png
odeschaintres68;Orthopedi;DESCHAINTRES;L1-MIPI;A2;orthopedi.deschaintres@gmail.com;06.68.45.19.71;6, rue de Paris;543ae359eb6648666b48dead4d7ab1ca5e6d90e2e663f7af50424d1d22971118;k3g31ry44xpr5;images_etu/dOrthopedi.png
lbhaugreet12;Lomualito;BHAUGREET;LPI-RIWS;E1;lomualito.bhaugreet@gmail.com;06.12.26.77.39;6, rue de Paris;251212d035b19d44d878431a64c2f66cb41e18be02f285b64666c291542db03b;03xagt3lu605l;images_etu/bLomualito.png
lnaimski25;Lhossin;NAIMSKI;L2-MI;B2;lhossin.naimski@gmail.com;06.25.19.76.24;6, rue de Paris;44f678828a023f5dae631886c2d6d1dad88afd02b6e24bc19ae22fb24666987e;65x7m402588au;images_etu/nLhossin.png
cdinier57;Chrisford;DINIER;LPI-RIWS;E1;chrisford.dinier@gmail.com;06.57.36.54.74;6, rue de Paris;8eef287c0873e1545268e83f737f40dc6c88aa5085bcfe958d73832731da2e90;l9970o5r42emy;images_etu/dChrisford.png
fmalescours52;Farel;MALESCOURS;L2-MI;B2;farel.malescours@gmail.com;06.52.60.85.94;6, rue de Paris;fcf0221f3211ba25f06ee1f55cae3235dc2bfcf088b84add923963b84d6f2236;34q1884b902ls;images_etu/mFarel.png
dstelmokaite72;Dahbia;STELMOKAITE;LP RS;D2;dahbia.stelmokaite@gmail.com;06.72.85.49.97;6, rue de Paris;1ae91997c8b2f37e3ca29596033d04fac80e7f62e32a2cb68596014fde5495dc;vxbk41m4j016z;images_etu/sDahbia.png
cphilopon42;Chemir;PHILOPON;L2-MI;B1;chemir.philopon@gmail.com;06.42.49.50.27;6, rue de Paris;cb7593c15bec3c197c38a4d806626fcae01b55dbda867f423001717ddf3b5bdf;05i9n71t09nwi;images_etu/pChemir.png
yda silva ribeiro osorio60;Yangyang;DA SILVA RIBEIRO OSORIO;L2-MI;B3;yangyang.da silva ribeiro osorio@gmail.com;06.60.30.43.45;6, rue de Paris;40a61218cf165053ddd6fb9006a134e6380bb719b62c8e5c2321174680b80bcf;tu95dw64232jx;images_etu/dYangyang.png
kpoignant thielen45;Khechai;POIGNANT THIELEN;L2-MI;B3;khechai.poignant thielen@gmail.com;06.45.70.86.17;6, rue de Paris;3665891d6a9d312019f1ffc74d96ab8b6d1b90dd394f8cfcc538807fee9b3dee;2147l1l7c98r1;images_etu/pKhechai.png
npredki58;Ngau;PREDKI;L1-MIPI;A3;ngau.predki@gmail.com;06.58.12.46.57;6, rue de Paris;5b8927be653798e99ac27bd2f73922c9c426eb40989cf4507a81a2a9777cebdf;7fr685p8h267m;images_etu/pNgau.png
rfelline74;Ravarono;FELLINE;L3-I;C2;ravarono.felline@gmail.com;06.74.20.62.71;6, rue de Paris;cd8419ffaf794b2d2ea7277b07f3ae8751a72deacd7af98dfd46a35f29a877bd;00uz150657o59;images_etu/fRavarono.png
nduong huu84;Namadogo;DUONG HUU;L1-MIPI;A3;namadogo.duong huu@gmail.com;06.84.74.74.94;6, rue de Paris;94ee1f4b4f7354ff29bdd23b8fc4ae2a91d3b5406fff3790ab2fa47ad25f5f4e;0du3mlp47p2k4;images_etu/dNamadogo.png
ahemadna45;Allesandra;HEMADNA;L2-MI;B2;allesandra.hemadna@gmail.com;06.45.63.74.79;6, rue de Paris;aaf5a71f8dd2c3d003d40ab481fd26abe87887d7e0838c78613de97f17ca6a3c;a6ya7k7r63w72;images_etu/hAllesandra.png
